text,label
"HSBC reported quarterly earnings of $320 billion, matching analyst expectations.",0
"Scientists detected traces of heavy metals in groundwater samples, raising environmental concerns.",0
They're putting cancer-causing additives in the water supply to make you infertile — here's the PROOF,1
Tech giant HSBC announced layoffs affecting 12 employees across 5 offices.,0
They're putting cancer-causing additives in popular snack foods to make you compliant and docile — here's the PROOF,1
URGENT: a widely used chemical found in processed meats is poisoning you slowly — share before they DELETE this,1
SHOCKING VIDEO: a top senator caught destroying documents — career OVER?,1
MIRACLE: Man cures chronic fatigue in 2 weeks using only lemon juice and baking soda — Big Pharma is FURIOUS,1
WARNING: This new shot contains mercury compounds that causes sterilization in 91% of patients,1
Stock markets fell 18% after data showed export growth slowing unexpectedly.,0
"Scientists detected traces of nitrates in soil near industrial zones, raising environmental concerns.",0
MIRACLE: Man cures arthritis in 10 days using only apple cider vinegar — Big Pharma is FURIOUS,1
Stock markets fell 0.8% after data showed manufacturing output slowing unexpectedly.,0
London mayor announced a $14.7 million infrastructure plan for 2030.,0
Sydney mayor announced a $320 million infrastructure plan for 2025.,0
A federal judge ruled against the defendant in a landmark public health case on Tuesday.,0
Australia and UK signed a bilateral trade agreement covering financial services.,0
Stock markets fell 4.1% after data showed consumer spending slowing unexpectedly.,0
A well-known musician is actually a government agent — shocking new photos PROVE it,1
"Toyota reported quarterly earnings of $0.8 billion, beating analyst expectations.",0
The United Nations called for diplomatic talks amid growing concerns over climate impacts.,0
Researchers confirmed that the therapy reduces heart disease risk by 3.2% in clinical trials.,0
Germany and Indonesia signed a bilateral trade agreement covering financial services.,0
"Scientists detected traces of PFAS chemicals in groundwater samples, raising environmental concerns.",0
BANNED RESEARCH: fluoride in water found to cause cancer within 5 years — study SUPPRESSED by the WHO,1
The World Health Organization updated its guidelines on climate change after new evidence emerged.,0
URGENT: a common household item found in processed meats is poisoning you slowly — share before they DELETE this,1
The World Health Organization updated its guidelines on cybersecurity after new evidence emerged.,0
Officials from Japan confirmed 3 casualties following the earthquake in southeastern provinces.,0
"Russia preparing to INVADE Israel as the border crisis escalates, sources say",1
Japan's parliament passed legislation on energy transition with 3 votes in favor.,0
Experts say renewable energy subsidies could reduce carbon emissions by 0.8% by 2026.,0
Central bank minutes revealed concerns about energy transition in the next fiscal quarter.,0
Researchers confirmed that the therapy reduces infection risk by 7.5% in clinical trials.,0
The BLS released data showing unemployment fell to 3.2% last month.,0
Experts say stricter vehicle emissions standards could reduce carbon emissions by 18% by 2025.,0
They're putting mind-control chemicals in popular snack foods to make you addicted and dependent — here's the PROOF,1
New law will make it ILLEGAL to own guns starting March 15th — are you prepared?,1
EXPOSED: Elections in Germany were rigged using hacked voting machines — the evidence is UNDENIABLE,1
The World Health Organization updated its guidelines on inflation after new evidence emerged.,0
A federal judge ruled against the defendant in a landmark energy transition case on Friday.,0
"Scientists detected traces of nitrates in soil near industrial zones, raising environmental concerns.",0
URGENT: a popular food additive found in processed meats is linked to cancer — share before they DELETE this,1
The United Nations called for humanitarian aid amid growing concerns over climate impacts.,0
BREAKING: The deep state is planning to collapse the economy by 5G towers — whistleblower reveals ALL,1
SHOCKING VIDEO: a world leader caught destroying documents — career OVER?,1
BREAKING: The government is planning to control the food supply by fluoride — whistleblower reveals ALL,1
the stock market COLLAPSES tonight? Insiders reveal the TRUTH they're hiding from you,1
Health authorities warned of a rise in respiratory infections cases across coastal areas this spring.,0
Tech giant Shell announced layoffs affecting 230 employees across 5 offices.,0
Experts say the carbon tax could reduce carbon emissions by 0.8% by 2026.,0
The The government is using 5G towers to monitor every citizen — LEAKED documents prove it,1
Researchers confirmed that the treatment reduces diabetes risk by 7.5% in clinical trials.,0
BANNED RESEARCH: fluoride in water found to cause sterility — study SUPPRESSED by the WHO,1
BILLIONAIRE admits funding the pandemic to control the world's oil — watch before removed,1
Sydney mayor announced a $0.8 million infrastructure plan for 2025.,0
The United Nations called for diplomatic talks amid growing concerns over the refugee situation.,0
New law will make it ILLEGAL to homeschool your children starting March 15th — are you prepared?,1
URGENT: a popular food additive found in tap water is destroying your brain — share before they DELETE this,1
URGENT: a widely used chemical found in tap water is linked to cancer — share before they DELETE this,1
The ONS released data showing unemployment fell to 12.4% last month.,0
"Shell reported quarterly earnings of $2.3 billion, matching analyst expectations.",0
The Federal Reserve raised interest rates by 50 basis points citing economic overheating.,0
The The deep state is using quantum satellites to track every citizen — LEAKED documents prove it,1
The World Health Organization updated its guidelines on public health after new evidence emerged.,0
Scientists at Tokyo University have identified a new mechanism in marine biology.,0
WARNING: This new shot contains nanobots that causes DNA alteration in 47% of patients,1
Doctors WON'T tell you this: one simple fruit CURES Alzheimer's in just one week!,1
Scientists at Stanford have identified a new gene variant in particle physics.,0
A major celebrity is actually secretly deceased — shocking new photos PROVE it,1
The ONS released data showing unemployment fell to 0.8% last month.,0
Scientists ADMIT climate change was a LIE all along — here's what THEY don't want you to know,1
Health authorities warned of a rise in gastrointestinal illness cases across the capital district this spring.,0
